Id,OverallQual,ExterQual,BsmtQual,BsmtExposure,CentralAir,KitchenQual,FireplaceQu,GarageFinish,GarageCond,Fence,YearBuilt,MoSold,YrSold,BsmtFullBath,FullBath,BedroomAbvGr,Fireplaces,GarageCars,log_LotArea,log_MasVnrArea,log_TotalBsmtSF,log_1stFlrSF,log_2ndFlrSF,log_GarageArea,log_WoodDeckSF,log_OpenPorchSF,log_TotRmsAbvGrd,C (all),FV,RH,RL,RM
1322,3,3,0,0,0,3,0,1,2,0,77,6,2,-0.8149286968584009,-1.0483964836916573,-1.0474686432688316,-0.9433881970418754,-1.034103015109602,-0.5876580875365974,-0.7987989877993185,-5.606057831402298,-1.3198629688142982,-0.8763558843192172,-0.10290161272579275,-0.9643850713904568,-1.0747683086832738,-1.777130558613517,0,0,0,1,0
1333,4,3,3,2,1,3,4,1,2,0,66,4,3,1.1315676588279229,-1.0483964836916573,-1.0474686432688316,0.6262377490334956,-1.034103015109602,-0.01578440629834465,-0.7987989877993185,-0.019667534509600362,-0.9317394650543934,-0.8763558843192172,-0.10050561767222733,-0.9643850713904568,-1.0747683086832738,-2.8184834197690227,0,0,0,1,0
1183,10,4,5,3,1,5,3,3,3,1,124,6,1,1.1315676588279229,2.6069082713885092,1.3704036400078397,2.1958636951088666,1.6499688107748758,1.0901713655336978,-0.7987989877993185,0.8770139761523164,2.4296362150633257,1.442932752750272,0.6153007006030775,1.0230388638583565,0.9595363312205939,1.9023946765043367,0,0,0,1,0
776,6,3,5,1,1,3,0,3,3,0,126,5,3,1.1315676588279229,0.7792558938484261,-1.0474686432688316,-0.9433881970418754,0.3079328978326369,-1.3448849356236166,1.3993131011378603,0.30406708682214667,0.27484610005593524,-0.8763558843192172,0.14628289814668072,-0.9643850713904568,1.492144962468402,-0.9262833183526223,0,0,0,0,1
1000,7,4,4,3,1,4,0,2,3,0,134,1,4,1.1315676588279229,0.7792558938484261,-1.0474686432688316,-0.9433881970418754,0.3079328978326369,-0.548205401801342,0.4271426292908006,0.29223027826168774,0.28513604844253154,-0.8763558843192172,0.4414598158108954,0.836147307607033,0.8467212965224891,-0.20690222693517366,0,0,0,1,0
349,7,4,4,1,1,4,0,2,3,0,131,9,2,1.1315676588279229,0.7792558938484261,-1.0474686432688316,-0.9433881970418754,0.3079328978326369,-2.5357352999093674,0.9808954301859195,-0.07445414591715231,-1.1359336726857119,1.1776980518170457,0.24296525193552487,-0.9643850713904568,0.4766220099654998,-0.20690222693517366,0,0,0,1,0
328,6,3,3,1,1,3,0,2,3,0,88,3,0,-0.8149286968584009,-1.0483964836916573,0.16146749836950397,-0.9433881970418754,-1.034103015109602,0.5076463472742264,1.170432462834598,0.41944840899885927,0.704881779431428,-0.8763558843192172,-0.09100383395998893,-0.9643850713904568,0.7077504946955736,0.41625401909868076,0,0,0,1,0
1246,6,3,4,1,1,3,3,3,3,0,112,0,1,-0.8149286968584009,2.6069082713885092,0.16146749836950397,0.6262377490334956,0.3079328978326369,0.5885927198033285,0.8455603002427412,-0.2965189003885123,0.10539288552136078,1.1264285591878307,0.24731727395568734,1.1957072524992896,1.1261841454813277,0.41625401909868076,0,0,0,1,0
1412,6,3,3,1,1,3,0,1,3,1,78,8,3,-0.8149286968584009,-1.0483964836916573,0.16146749836950397,-0.9433881970418754,-1.034103015109602,0.1374028671993708,-0.7987989877993185,0.020153112166162303,0.028246331131309588,1.0446638476034213,-0.1424120165328349,-0.9643850713904568,-1.0747683086832738,-0.20690222693517366,0,0,0,1,0
1219,4,3,0,0,0,3,0,0,0,0,75,6,0,-0.8149286968584009,-1.0483964836916573,-1.0474686432688316,-0.9433881970418754,-2.376138928051841,-0.7053748293582767,-0.7987989877993185,-5.606057831402298,-1.5337774894862637,0.7901201005051808,-4.017388392222728,-0.9643850713904568,-1.0747683086832738,-2.8184834197690227,0,0,0,0,1
828,7,4,4,1,1,4,3,2,3,0,129,3,3,-0.8149286968584009,0.7792558938484261,0.16146749836950397,0.6262377490334956,0.3079328978326369,-0.09402449416956972,-0.7987989877993185,0.4611261927902373,0.8172419946210229,-0.8763558843192172,0.3160860524678006,1.22605894061761,0.642680861768101,-0.20690222693517366,0,0,0,1,0
